record_id,buoy_id,Name,Date,Tz,Peak Direction,Tpeak,Wave Height,Temperature,Spread,Operations,Seastate,Quadrant
1,14,SW Isles of Scilly WaveNet Site,17/04/2023 00:00,7.2,263,10,1.8,10.8,26,crew,swell,west
2,7,Hayling Island Waverider,17/04/2023 00:00,4,193,11.1,0.2,10.2,14,crew,swell,south
3,5,Firth of Forth WaveNet Site,17/04/2023 00:00,3.7,115,4.5,0.6,7.8,28,crew,windsea,east
4,3,Chesil Waverider,17/04/2023 00:00,5.5,225,8.3,0.5,10.2,48,crew,swell,south
5,10,M6 Buoy,17/04/2023 00:00,7.6,240,11.7,4.5,11.5,89,no go,swell,west
6,9,Lomond,17/04/2023 00:00,4,NaN,NaN,0.5,NaN,NaN,crew,swell,north
7,2,Cardigan Bay,17/04/2023 00:00,5.9,239,10.5,0.69,9.9,18,crew,swell,west
8,14,SW Isles of Scilly WaveNet Site,15/04/2023 00:00,7.2,277,12.5,2.23,10.95,18,crew,swell,west
9,7,Hayling Island Waverider,15/04/2023 00:00,3.7,55,5.1,0.55,9.65,31,crew,windsea,east
10,5,Firth of Forth WaveNet Site,15/04/2023 00:00,3.2,124,3.9,0.71,7.35,23,crew,windsea,east
11,3,Chesil Waverider,15/04/2023 00:00,3.2,260,3.4,0.21,8.95,67,crew,windsea,west
12,10,M6 Buoy,15/04/2023 00:00,6.6,224,8.3,2.7,11.4,NaN,crew,swell,south
13,9,Lomond,15/04/2023 00:00,5,NaN,NaN,0.7,NaN,NaN,crew,swell,north
14,2,Cardigan Bay,15/04/2023 00:00,4.9,233,9.5,0.75,9.9,14,crew,swell,west
15,14,SW Isles of Scilly WaveNet Site,30/12/2017 21:30,8.3,NaN,NaN,6.23,NaN,NaN,no go,swell,unknown
16,14,SW Isles of Scilly WaveNet Site,30/12/2017 22:00,8.7,NaN,NaN,6.61,NaN,NaN,no go,swell,unknown
17,14,SW Isles of Scilly WaveNet Site,30/12/2017 22:30,8.5,NaN,NaN,6.42,NaN,NaN,no go,swell,unknown
18,14,SW Isles of Scilly WaveNet Site,30/12/2017 23:00,8.7,NaN,NaN,6.92,NaN,NaN,no go,swell,unknown
19,14,SW Isles of Scilly WaveNet Site,30/12/2017 23:30,8.7,NaN,NaN,6.81,NaN,NaN,no go,swell,unknown
20,14,SW Isles of Scilly WaveNet Site,31/12/2017 00:00,8.2,NaN,NaN,6.38,NaN,NaN,no go,swell,unknown
21,14,SW Isles of Scilly WaveNet Site,31/12/2017 00:30,8.7,NaN,NaN,6.86,NaN,NaN,no go,swell,unknown
22,14,SW Isles of Scilly WaveNet Site,31/12/2017 01:00,8.7,NaN,NaN,6.82,NaN,NaN,no go,swell,unknown
23,14,SW Isles of Scilly WaveNet Site,31/12/2017 01:30,8.9,NaN,NaN,7.05,NaN,NaN,no go,swell,unknown
24,14,SW Isles of Scilly WaveNet Site,31/12/2017 02:00,8.5,NaN,NaN,6.27,NaN,NaN,no go,swell,unknown
25,14,SW Isles of Scilly WaveNet Site,31/12/2017 02:30,8.9,NaN,NaN,6.4,NaN,NaN,no go,swell,unknown
26,14,SW Isles of Scilly WaveNet Site,31/12/2017 03:00,9.1,NaN,NaN,6.81,NaN,NaN,no go,swell,unknown
27,14,SW Isles of Scilly WaveNet Site,31/12/2017 03:30,8.7,NaN,NaN,6.25,NaN,NaN,no go,swell,unknown
28,14,SW Isles of Scilly WaveNet Site,31/12/2017 04:00,9.1,NaN,NaN,6.71,NaN,NaN,no go,swell,unknown
29,14,SW Isles of Scilly WaveNet Site,31/12/2017 04:30,9.8,NaN,NaN,7.21,NaN,NaN,no go,swell,unknown
30,14,SW Isles of Scilly WaveNet Site,31/12/2017 05:00,8.9,NaN,NaN,5.94,NaN,NaN,no go,swell,unknown
31,14,SW Isles of Scilly WaveNet Site,31/12/2017 05:30,9.3,NaN,NaN,6.65,NaN,NaN,no go,swell,unknown
32,14,SW Isles of Scilly WaveNet Site,31/12/2017 06:00,9.5,NaN,NaN,6.51,NaN,NaN,no go,swell,unknown
33,14,SW Isles of Scilly WaveNet Site,31/12/2017 06:30,9.3,NaN,NaN,6.08,NaN,NaN,no go,swell,unknown
34,14,SW Isles of Scilly WaveNet Site,31/12/2017 07:00,8.9,NaN,NaN,5.23,NaN,NaN,no go,swell,unknown
35,14,SW Isles of Scilly WaveNet Site,31/12/2017 07:30,9.1,NaN,NaN,5.5,NaN,NaN,no go,swell,unknown
36,14,SW Isles of Scilly WaveNet Site,31/12/2017 08:00,9.3,NaN,NaN,6,NaN,NaN,no go,swell,unknown
37,14,SW Isles of Scilly WaveNet Site,31/12/2017 08:30,9.8,NaN,NaN,6.23,NaN,NaN,no go,swell,unknown
38,14,SW Isles of Scilly WaveNet Site,31/12/2017 09:00,9.8,NaN,NaN,6.09,NaN,NaN,no go,swell,unknown
39,14,SW Isles of Scilly WaveNet Site,31/12/2017 09:30,9.1,NaN,NaN,6.02,NaN,NaN,no go,swell,unknown
40,14,SW Isles of Scilly WaveNet Site,31/12/2017 10:00,9.5,NaN,NaN,6.58,NaN,NaN,no go,swell,unknown
41,14,SW Isles of Scilly WaveNet Site,31/12/2017 10:30,9.1,NaN,NaN,6.25,NaN,NaN,no go,swell,unknown
42,14,SW Isles of Scilly WaveNet Site,31/12/2017 11:00,8.7,NaN,NaN,5.82,NaN,NaN,no go,swell,unknown
43,14,SW Isles of Scilly WaveNet Site,31/12/2017 11:30,8.5,NaN,NaN,5.83,NaN,NaN,no go,swell,unknown
44,14,SW Isles of Scilly WaveNet Site,31/12/2017 12:00,8.5,NaN,NaN,5.86,NaN,NaN,no go,swell,unknown
45,14,SW Isles of Scilly WaveNet Site,31/12/2017 12:30,8.7,NaN,NaN,6.68,NaN,NaN,no go,swell,unknown
46,14,SW Isles of Scilly WaveNet Site,31/12/2017 13:00,8.3,NaN,NaN,6.21,NaN,NaN,no go,swell,unknown
47,14,SW Isles of Scilly WaveNet Site,31/12/2017 13:30,8,NaN,NaN,5.93,NaN,NaN,no go,swell,unknown
48,14,SW Isles of Scilly WaveNet Site,31/12/2017 14:00,8.3,NaN,NaN,6.6,NaN,NaN,no go,swell,unknown
49,14,SW Isles of Scilly WaveNet Site,31/12/2017 14:30,8.5,NaN,NaN,7.22,NaN,NaN,no go,swell,unknown
50,14,SW Isles of Scilly WaveNet Site,31/12/2017 15:00,8.3,NaN,NaN,6.69,NaN,NaN,no go,swell,unknown
51,14,SW Isles of Scilly WaveNet Site,31/12/2017 15:30,8.3,NaN,NaN,6.73,NaN,NaN,no go,swell,unknown
